,gender,age,education,activity_work,educational_level,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun
16468,Male,36,14.0,1,highly_educated,1,1.0,1,1.0,3,7,8,9,8,6,6,6,7
16469,Male,48,14.0,1,highly_educated,1,1.0,2,66.0,6,6,7,7,8,6,7,7,7
16470,Male,59,17.0,1,highly_educated,1,8.0,1,2.0,2,3,7,8,7,6,6,6,6
16471,Female,46,9.0,1,mid_educated,1,1.0,1,17.0,2,9,5,3,5,3,4,88,5
16472,Female,80,3.0,6,lower_educated,2,66.0,2,66.0,6,5,4,3,4,4,4,4,4
16473,Female,40,14.0,1,highly_educated,1,6.0,2,66.0,6,6,6,5,7,4,5,6,6
16474,Female,50,14.0,1,highly_educated,1,88.0,1,17.0,1,7,6,7,9,6,6,5,7
16475,Female,62,10.0,1,mid_educated,1,3.0,1,3.0,2,8,3,1,5,1,1,1,1
16476,Female,33,17.0,1,highly_educated,1,10.0,2,66.0,6,2,88,4,7,1,1,88,88
16477,Female,90,4.0,6,lower_educated,1,2.0,2,66.0,6,7,3,5,7,6,6,7,7
16478,Female,63,10.0,1,mid_educated,1,4.0,2,66.0,6,6,5,6,6,4,4,4,6
16479,Male,999,3.0,1,lower_educated,1,16.0,1,16.0,2,10,1,7,7,1,5,1,7
16480,Male,90,3.0,6,lower_educated,1,5.0,1,5.0,1,8,7,8,8,6,6,6,6
16481,Male,25,16.0,1,highly_educated,1,8.0,2,66.0,6,3,4,7,2,3,3,5,5
16482,Male,33,14.0,1,highly_educated,2,66.0,1,2.0,2,4,4,6,9,5,6,6,7
16483,Female,79,11.0,6,mid_educated,1,7.0,2,66.0,6,3,7,8,6,7,7,7,7
16484,Female,76,14.0,6,highly_educated,1,1.0,2,66.0,6,7,6,7,7,6,6,7,7
16485,Female,44,13.0,1,highly_educated,1,4.0,2,66.0,6,4,2,4,6,4,4,5,4
16486,Female,40,16.0,8,highly_educated,1,12.0,1,12.0,1,1,1,7,7,1,1,4,4
16487,Male,45,10.0,1,mid_educated,1,2.0,1,2.0,2,4,7,9,9,7,7,6,6
16488,Male,33,16.0,1,highly_educated,1,5.0,2,66.0,6,6,5,8,8,5,4,3,7
16489,Female,17,4.0,2,lower_educated,3,66.0,2,66.0,6,5,3,6,6,4,4,4,5
16490,Female,86,3.0,6,lower_educated,2,66.0,1,2.0,2,88,6,5,5,5,5,5,5
16491,Male,34,18.0,1,highly_educated,1,6.0,1,6.0,2,3,8,10,9,7,6,7,8
16492,Female,81,3.0,8,lower_educated,1,3.0,2,66.0,6,88,0,2,7,3,9,1,1
16493,Male,21,10.0,4,mid_educated,1,13.0,2,66.0,6,3,5,8,9,4,5,5,6
16494,Female,74,4.0,6,lower_educated,1,2.0,2,66.0,6,5,7,8,8,7,7,8,7
16495,Female,23,17.0,1,highly_educated,1,6.0,2,66.0,6,4,6,7,8,7,5,7,7
16496,Male,56,16.0,9,highly_educated,1,5.0,1,5.0,2,6,6,8,7,5,5,4,7
16497,Female,50,10.0,1,mid_educated,1,10.0,2,66.0,6,0,3,6,7,3,3,5,5
16498,Male,61,14.0,1,highly_educated,1,2.0,1,2.0,2,3,7,9,8,6,6,6,8
16499,Female,75,4.0,6,lower_educated,1,7.0,1,7.0,2,5,4,7,7,5,6,88,5
16500,Male,32,6.0,1,mid_educated,1,88.0,2,66.0,6,88,8,7,8,7,88,88,88
16501,Male,48,14.0,8,highly_educated,1,7.0,1,7.0,2,4,7,8,9,5,6,6,6
16502,Female,41,10.0,1,mid_educated,3,66.0,2,66.0,6,6,8,8,9,7,7,8,7
16503,Male,53,17.0,9,highly_educated,1,13.0,1,13.0,2,5,1,1,8,1,4,0,0
16504,Female,18,4.0,1,lower_educated,3,66.0,1,7.0,1,1,6,7,9,7,5,7,6
16505,Female,46,10.0,1,mid_educated,2,66.0,1,6.0,2,3,6,7,8,6,6,7,7
16506,Male,85,18.0,6,highly_educated,1,77.0,1,77.0,6,4,88,8,7,6,7,4,5
16507,Female,52,3.0,1,lower_educated,2,66.0,2,66.0,6,6,4,6,4,4,4,88,88
16508,Female,72,14.0,6,highly_educated,1,11.0,1,11.0,2,4,6,7,8,6,7,7,7
16509,Female,56,9.0,5,mid_educated,1,5.0,2,66.0,6,5,6,5,8,4,5,7,6
16510,Male,72,17.0,6,highly_educated,1,8.0,1,8.0,2,4,4,6,6,7,7,6,5
16511,Female,35,17.0,1,highly_educated,1,15.0,2,66.0,6,3,5,8,7,4,5,7,8
16512,Male,28,14.0,1,highly_educated,1,7.0,1,7.0,2,6,7,8,8,6,7,6,7
16513,Male,44,10.0,1,mid_educated,2,66.0,2,66.0,6,5,7,7,8,7,5,8,8
16514,Male,69,7.0,6,mid_educated,1,7.0,1,7.0,3,6,6,6,8,6,6,5,4
16515,Female,59,10.0,1,mid_educated,1,7.0,1,17.0,2,5,4,8,9,4,4,2,3
16516,Female,49,5.0,8,lower_educated,1,88.0,1,18.0,2,5,5,7,6,5,5,88,5
16517,Female,49,17.0,1,highly_educated,1,6.0,2,66.0,6,3,5,6,7,5,5,7,6
16518,Female,77,3.0,8,lower_educated,1,88.0,2,66.0,6,88,7,3,7,5,6,7,88
16519,Female,45,10.0,1,mid_educated,1,88.0,1,88.0,6,5,4,0,8,3,3,3,5
16520,Female,63,14.0,1,highly_educated,1,1.0,2,66.0,6,7,5,5,7,2,2,4,6
16521,Female,64,17.0,1,highly_educated,1,6.0,2,66.0,6,4,7,9,8,6,6,6,8
16522,Female,64,8.0,8,mid_educated,2,66.0,7,66.0,6,5,6,7,8,7,6,8,5
16523,Male,65,8.0,6,mid_educated,1,2.0,1,2.0,2,4,5,7,7,4,5,4,5
16524,Female,74,13.0,6,highly_educated,1,1.0,1,1.0,2,5,7,7,7,6,7,6,7
16525,Male,68,3.0,6,lower_educated,1,3.0,2,66.0,6,5,3,5,6,3,5,2,5
16526,Female,33,4.0,1,lower_educated,2,66.0,2,66.0,6,88,5,88,7,88,5,5,88
16527,Female,49,16.0,1,highly_educated,1,5.0,2,66.0,6,5,6,8,9,4,4,6,7
16528,Female,42,10.0,88,mid_educated,1,3.0,2,66.0,6,5,5,5,8,5,3,4,5
16529,Male,57,17.0,1,highly_educated,1,17.0,1,17.0,2,2,1,4,7,1,1,1,6
16530,Male,33,14.0,1,highly_educated,1,1.0,2,66.0,6,6,6,8,6,5,6,6,5
16531,Male,44,14.0,1,highly_educated,1,6.0,1,6.0,2,6,7,8,8,7,7,7,8
16532,Male,74,7.0,6,mid_educated,1,16.0,1,16.0,2,7,5,6,7,3,2,1,5
16533,Female,48,13.0,1,highly_educated,1,1.0,2,66.0,6,7,6,7,8,6,5,6,7
16534,Male,72,3.0,6,lower_educated,1,1.0,2,66.0,6,7,6,6,8,6,6,4,6
16535,Female,50,9.0,1,mid_educated,1,1.0,1,4.0,2,3,6,6,8,6,6,6,6
16536,Male,33,16.0,1,highly_educated,1,4.0,1,4.0,2,2,3,8,7,5,5,8,8
16537,Male,68,14.0,6,highly_educated,1,5.0,1,5.0,2,7,4,6,7,4,6,6,5
16538,Female,77,6.0,6,mid_educated,1,1.0,2,66.0,6,5,6,8,7,5,5,5,7
16539,Male,77,17.0,6,highly_educated,1,2.0,1,2.0,2,3,7,8,8,7,7,8,8
16540,Female,73,4.0,6,lower_educated,1,1.0,2,66.0,6,3,6,5,5,6,6,6,6
16541,Male,67,3.0,6,lower_educated,1,17.0,2,66.0,6,6,8,8,8,6,6,6,8
16542,Female,75,7.0,6,mid_educated,1,1.0,1,1.0,2,7,5,7,7,6,6,6,6
16543,Male,48,17.0,1,highly_educated,1,1.0,1,1.0,2,7,8,6,8,4,6,6,8
16544,Male,33,4.0,8,lower_educated,1,8.0,1,2.0,2,4,3,10,8,5,3,5,5
16545,Female,78,3.0,8,lower_educated,1,4.0,2,66.0,6,5,5,5,7,6,6,5,5
16546,Male,54,14.0,1,highly_educated,1,2.0,1,2.0,2,3,8,8,8,7,7,7,6
16547,Male,64,16.0,1,highly_educated,1,17.0,1,17.0,1,6,2,3,5,2,3,0,5
16548,Male,31,15.0,1,highly_educated,1,16.0,8,66.0,6,7,6,7,6,2,2,3,2
16549,Male,21,4.0,2,lower_educated,1,8.0,2,66.0,6,4,9,88,8,7,7,5,5
16550,Female,47,17.0,8,highly_educated,2,66.0,2,66.0,6,5,6,7,7,2,3,88,88
16551,Female,33,13.0,1,highly_educated,1,88.0,2,66.0,6,4,7,9,9,7,8,9,9
16552,Male,50,14.0,1,highly_educated,1,1.0,1,1.0,3,7,8,9,9,8,8,7,7
16553,Male,78,8.0,8,mid_educated,1,1.0,1,18.0,1,9,6,7,6,4,3,7,7
16554,Male,39,17.0,1,highly_educated,1,5.0,1,5.0,1,5,8,88,9,8,7,7,7
16555,Male,38,14.0,1,highly_educated,2,66.0,2,66.0,6,3,8,9,9,8,6,8,9
16556,Male,38,15.0,8,highly_educated,1,6.0,2,66.0,6,4,8,9,7,7,7,7,8
16557,Male,52,17.0,1,highly_educated,1,10.0,1,18.0,1,5,6,8,7,8,6,6,9
16558,Female,67,5.0,8,lower_educated,1,17.0,1,17.0,2,4,0,0,8,0,5,0,0
16559,Female,79,3.0,8,lower_educated,2,66.0,2,66.0,6,4,7,5,7,5,5,6,5
16560,Male,52,9.0,99,mid_educated,1,77.0,2,66.0,6,77,2,6,6,2,2,0,5
16561,Female,48,16.0,1,highly_educated,1,7.0,1,7.0,2,2,8,9,8,8,8,8,8
16562,Female,32,9.0,1,mid_educated,1,9.0,1,9.0,1,3,7,7,9,6,4,6,6
16563,Female,75,17.0,6,highly_educated,1,4.0,1,4.0,1,1,6,7,7,5,5,6,7
16564,Male,57,17.0,5,highly_educated,1,88.0,1,6.0,3,5,1,5,3,2,2,4,1
16565,Female,18,10.0,2,mid_educated,2,66.0,2,66.0,6,3,4,6,5,4,5,6,4
16566,Male,64,3.0,6,lower_educated,1,3.0,1,17.0,2,8,7,3,7,2,5,0,0
16567,Female,40,10.0,1,mid_educated,2,66.0,2,66.0,6,5,2,7,4,0,0,0,0
16568,Male,42,17.0,1,highly_educated,1,1.0,1,1.0,3,6,7,8,7,6,7,6,5
16569,Male,76,3.0,6,lower_educated,1,3.0,1,3.0,2,10,0,6,9,0,0,0,10
16570,Female,23,10.0,1,mid_educated,1,31.0,2,66.0,6,3,2,8,8,5,5,5,7
16571,Male,46,17.0,1,highly_educated,1,15.0,1,2.0,2,5,6,8,7,6,6,5,7
16572,Female,43,4.0,1,lower_educated,1,6.0,1,18.0,2,5,5,6,7,4,6,4,7
16573,Female,69,14.0,8,highly_educated,1,1.0,2,66.0,6,6,6,7,8,6,6,7,8
16574,Male,37,10.0,1,mid_educated,1,1.0,2,66.0,6,6,6,8,9,6,6,5,6
16575,Male,64,16.0,1,highly_educated,1,1.0,2,66.0,6,8,3,9,8,4,5,5,5
16576,Female,62,14.0,1,highly_educated,1,1.0,1,7.0,2,7,7,7,6,7,6,7,7
16577,Female,52,10.0,8,mid_educated,1,1.0,1,17.0,2,6,6,6,8,6,6,6,5
16578,Female,76,3.0,6,lower_educated,1,4.0,2,66.0,6,0,5,6,7,5,6,5,5
16579,Male,60,3.0,1,lower_educated,2,66.0,2,66.0,6,5,6,6,7,7,6,7,6
16580,Male,74,9.0,1,mid_educated,8,66.0,1,17.0,1,10,0,0,0,0,0,0,4
16581,Male,44,9.0,1,mid_educated,1,5.0,1,1.0,2,7,6,4,8,5,5,2,7
16582,Female,56,17.0,1,highly_educated,1,10.0,1,10.0,2,6,4,3,8,3,3,5,3
16583,Male,39,6.0,1,mid_educated,1,5.0,1,5.0,3,8,8,9,9,6,6,6,6
16584,Female,33,14.0,1,highly_educated,1,6.0,1,6.0,2,4,6,8,5,4,6,6,5
16585,Male,73,16.0,6,highly_educated,1,1.0,1,1.0,2,6,8,9,8,7,7,7,7
16586,Male,61,17.0,1,highly_educated,1,7.0,2,66.0,6,3,8,8,8,8,8,8,9
16587,Female,42,4.0,8,lower_educated,1,9.0,1,17.0,2,7,5,8,0,7,6,88,88
16588,Male,49,14.0,1,highly_educated,1,17.0,2,66.0,6,7,6,4,7,5,5,3,7
16589,Female,61,6.0,1,mid_educated,1,1.0,2,66.0,6,5,6,7,8,6,6,6,6
16590,Female,34,16.0,1,highly_educated,2,66.0,1,8.0,2,0,3,6,9,3,5,7,9
16591,Female,72,17.0,6,highly_educated,2,66.0,2,66.0,6,3,7,7,7,7,6,7,7
16592,Female,80,16.0,6,highly_educated,2,66.0,1,10.0,1,5,3,4,5,0,3,3,5
16593,Male,36,10.0,1,mid_educated,2,66.0,1,17.0,2,5,3,10,8,5,4,6,8
16594,Male,62,16.0,8,highly_educated,1,2.0,1,2.0,2,2,8,9,7,5,6,7,5
16595,Male,38,10.0,1,mid_educated,1,9.0,1,9.0,2,6,7,5,8,7,7,7,8
16596,Male,63,3.0,1,lower_educated,1,9.0,1,9.0,1,10,2,6,7,3,3,88,88
16597,Female,78,3.0,6,lower_educated,1,5.0,1,5.0,2,7,5,6,8,7,5,0,4
16598,Female,53,14.0,1,highly_educated,1,15.0,2,66.0,6,2,3,5,6,2,2,1,1
16599,Male,76,3.0,6,lower_educated,2,66.0,2,66.0,6,8,2,4,7,2,2,2,2
16600,Male,81,17.0,6,highly_educated,2,66.0,2,66.0,6,0,6,6,6,3,3,6,4
16601,Female,999,12.0,2,highly_educated,3,66.0,2,66.0,6,4,5,6,5,4,4,5,6
16602,Male,32,9.0,1,mid_educated,1,6.0,2,66.0,6,5,7,8,9,6,6,88,88
16603,Female,35,16.0,1,highly_educated,1,6.0,1,6.0,2,3,7,8,8,6,6,88,88
16604,Female,55,17.0,8,highly_educated,1,6.0,2,66.0,6,4,7,7,7,6,6,6,6
16605,Male,17,2.0,2,lower_educated,3,66.0,2,66.0,6,88,88,9,8,5,8,88,88
16606,Female,40,14.0,1,highly_educated,1,5.0,2,66.0,6,88,3,5,7,3,3,88,7
16607,Female,59,4.0,1,lower_educated,1,16.0,1,17.0,2,7,3,8,8,4,4,5,7
16608,Female,31,16.0,1,highly_educated,1,1.0,2,66.0,6,6,7,7,8,6,7,8,8
16609,Male,43,11.0,1,mid_educated,1,1.0,1,1.0,2,7,6,9,7,6,5,4,7
16610,Female,41,9.0,8,mid_educated,1,3.0,1,13.0,2,5,0,3,4,0,0,0,0
16611,Female,73,3.0,6,lower_educated,1,5.0,2,66.0,6,5,3,3,9,5,5,4,5
16612,Male,35,10.0,1,mid_educated,1,1.0,2,66.0,6,7,7,7,8,6,5,4,8
16613,Female,48,5555.0,1,,1,88.0,2,66.0,6,6,6,88,88,88,88,7,88
16614,Female,80,14.0,8,highly_educated,1,88.0,1,17.0,2,7,6,7,8,5,5,6,6
16615,Male,36,3.0,1,lower_educated,1,2.0,1,17.0,1,7,5,3,5,1,1,3,3
16616,Female,54,2.0,5,lower_educated,1,13.0,1,3.0,1,88,2,2,0,2,2,77,2
16617,Male,69,4.0,6,lower_educated,1,1.0,1,1.0,2,8,7,8,9,7,6,3,6
16618,Male,35,3.0,4,lower_educated,2,66.0,2,66.0,6,88,88,6,5,88,88,88,88
16619,Male,68,18.0,6,highly_educated,1,8.0,1,8.0,2,2,5,8,7,6,6,6,3
16620,Female,73,3.0,6,lower_educated,1,4.0,2,66.0,6,3,3,3,3,3,3,2,4
16621,Female,73,3.0,6,lower_educated,1,2.0,2,66.0,6,5,5,5,7,5,5,5,5
16622,Male,17,1.0,9,lower_educated,3,66.0,1,14.0,2,2,3,6,5,5,6,7,5
16623,Male,65,18.0,1,highly_educated,1,10.0,1,10.0,2,2,4,7,6,5,5,5,5
16624,Female,53,14.0,1,highly_educated,1,5.0,1,17.0,1,6,5,7,5,3,3,5,5
16625,Male,26,10.0,2,mid_educated,1,1.0,2,66.0,6,7,7,9,7,6,6,7,8
16626,Female,17,1.0,2,lower_educated,3,66.0,1,1.0,2,7,8,6,7,6,6,8,8
16627,Male,61,17.0,1,highly_educated,1,1.0,1,1.0,2,7,8,9,7,6,7,4,7
16628,Female,18,4.0,2,lower_educated,3,66.0,1,6.0,2,5,4,3,4,3,4,7,7
16629,Female,58,9.0,1,mid_educated,1,8.0,1,4.0,2,3,4,5,6,4,4,5,6
16630,Male,29,17.0,1,highly_educated,1,2.0,2,66.0,6,3,7,8,8,7,7,6,8
16631,Female,72,4.0,6,lower_educated,1,6.0,1,17.0,4,5,6,8,7,6,6,5,7
16632,Male,20,6.0,1,mid_educated,2,66.0,2,66.0,6,5,4,5,5,5,5,4,4
16633,Male,36,12.0,1,highly_educated,1,1.0,2,66.0,6,6,5,6,6,4,4,3,3
16634,Male,74,3.0,1,lower_educated,1,77.0,1,77.0,6,7,8,9,8,5,6,7,6
16635,Male,33,10.0,1,mid_educated,2,66.0,2,66.0,6,4,8,7,9,7,6,6,7
16636,Female,40,13.0,1,highly_educated,3,66.0,2,66.0,6,5,8,8,8,8,8,8,88
16637,Male,36,14.0,1,highly_educated,3,66.0,1,8.0,2,3,7,9,9,7,7,8,6
16638,Female,35,14.0,1,highly_educated,1,10.0,2,66.0,6,3,7,8,7,6,6,7,9
16639,Male,46,2.0,1,lower_educated,1,4.0,1,4.0,3,1,7,8,8,9,7,8,9
16640,Male,72,13.0,8,highly_educated,1,6.0,2,66.0,6,5,8,8,8,7,7,8,8
16641,Female,69,4.0,6,lower_educated,1,8.0,1,8.0,1,3,5,7,8,5,5,6,7
16642,Female,79,3.0,6,lower_educated,1,88.0,2,66.0,6,7,6,6,7,6,6,6,6
16643,Male,67,4.0,1,lower_educated,1,4.0,2,66.0,6,5,4,6,7,4,4,3,6
16644,Female,59,4.0,5,lower_educated,1,6.0,1,17.0,2,5,6,6,8,6,6,6,7
16645,Female,75,2.0,6,lower_educated,2,66.0,1,10.0,3,5,0,5,8,0,0,4,4
16646,Female,75,4.0,6,lower_educated,1,3.0,1,18.0,2,5,0,5,7,6,4,6,7
16647,Male,55,16.0,1,highly_educated,1,1.0,1,1.0,2,6,6,6,8,5,6,7,8
16648,Male,57,9.0,1,mid_educated,1,16.0,2,66.0,6,10,0,0,0,0,0,0,2
16649,Female,33,17.0,1,highly_educated,1,8.0,1,8.0,2,2,8,9,8,6,7,5,6
16650,Male,33,17.0,1,highly_educated,1,1.0,2,66.0,6,7,6,8,8,5,5,7,7
16651,Female,34,17.0,1,highly_educated,1,6.0,1,15.0,2,2,8,8,7,7,7,7,8
16652,Male,73,13.0,6,highly_educated,1,17.0,1,31.0,2,5,4,6,6,6,6,3,5
16653,Female,67,3.0,8,lower_educated,2,66.0,2,66.0,6,88,1,3,7,1,3,3,88
16654,Female,55,17.0,1,highly_educated,1,6.0,2,66.0,6,6,6,8,9,7,6,7,7
16655,Male,64,13.0,6,highly_educated,1,15.0,1,15.0,2,4,8,9,8,7,7,9,6
16656,Female,17,2.0,2,lower_educated,3,66.0,2,66.0,6,7,8,8,8,7,6,8,7
16657,Female,71,4.0,6,lower_educated,1,17.0,2,66.0,6,4,4,4,6,5,3,4,4
16658,Female,26,14.0,1,highly_educated,2,66.0,2,66.0,6,5,7,8,9,7,7,8,8
16659,Male,38,2.0,1,lower_educated,2,66.0,2,66.0,6,10,9,10,10,10,10,5,0
16660,Male,44,9.0,1,mid_educated,1,13.0,2,66.0,6,7,3,5,4,2,2,1,4
16661,Female,48,16.0,1,highly_educated,1,6.0,2,66.0,6,3,7,8,8,6,7,6,88
16662,Male,19,4.0,2,lower_educated,3,66.0,2,66.0,6,5,6,7,8,6,7,8,8
16663,Female,71,17.0,6,highly_educated,1,6.0,1,6.0,2,5,7,8,8,7,6,7,7
16664,Female,66,9.0,8,mid_educated,2,66.0,8,66.0,6,5,0,0,7,0,0,0,0
16665,Male,67,10.0,6,mid_educated,1,2.0,1,2.0,2,4,8,9,9,7,8,8,8
16666,Female,50,16.0,1,highly_educated,1,8.0,1,8.0,2,3,9,9,9,6,6,5,7
16667,Female,73,13.0,6,highly_educated,1,1.0,1,1.0,1,10,6,7,7,6,6,4,7
16668,Female,17,2.0,2,lower_educated,3,66.0,1,6.0,2,4,6,7,8,6,6,8,7
16669,Female,90,4.0,6,lower_educated,1,1.0,2,66.0,6,7,88,88,6,5,5,4,5
16670,Female,52,10.0,8,mid_educated,1,6.0,1,15.0,3,4,8,8,9,7,7,88,88
16671,Female,62,6.0,1,mid_educated,1,6.0,1,6.0,1,5,7,8,8,7,6,8,8
16672,Female,21,8.0,2,mid_educated,2,66.0,8,66.0,6,8,7,8,9,6,6,5,88
16673,Male,76,13.0,6,highly_educated,1,15.0,2,66.0,6,0,1,8,8,4,0,0,7
16674,Female,28,3.0,4,lower_educated,2,66.0,2,66.0,6,88,88,7,8,88,88,88,88
16675,Male,47,18.0,1,highly_educated,1,10.0,1,10.0,2,4,2,8,8,4,6,4,0
16676,Male,66,4.0,1,lower_educated,1,2.0,2,66.0,6,4,0,7,7,3,3,0,6
16677,Female,49,3.0,1,lower_educated,8,66.0,2,66.0,6,88,3,6,6,6,6,7,88
16678,Male,36,14.0,8,highly_educated,1,13.0,2,66.0,6,8,7,6,7,6,4,3,5
16679,Female,83,4.0,6,lower_educated,1,10.0,8,66.0,6,8,3,6,4,5,7,9,7
16680,Female,66,14.0,1,highly_educated,1,8.0,1,8.0,2,1,6,8,88,6,6,7,88
16681,Female,81,3.0,6,lower_educated,1,5.0,1,5.0,2,7,7,6,6,6,6,6,6
16682,Male,43,6.0,1,mid_educated,1,31.0,1,31.0,1,6,2,3,6,0,2,3,2
16683,Male,56,16.0,1,highly_educated,1,4.0,1,4.0,2,6,6,9,8,5,5,6,7
16684,Male,66,16.0,1,highly_educated,1,6.0,1,18.0,2,5,4,6,8,4,5,7,7
16685,Female,42,14.0,1,highly_educated,1,7.0,1,7.0,3,3,5,4,8,5,5,5,7
16686,Male,52,16.0,1,highly_educated,1,3.0,2,66.0,6,7,2,3,6,4,4,0,7
16687,Female,42,14.0,1,highly_educated,1,6.0,2,66.0,6,4,7,8,8,7,7,7,8
16688,Female,34,17.0,1,highly_educated,1,6.0,2,66.0,6,7,7,9,9,6,7,8,8
16689,Female,58,10.0,1,mid_educated,1,1.0,2,66.0,6,5,7,7,7,5,5,4,5
16690,Male,34,4.0,9,lower_educated,1,88.0,2,66.0,6,5,7,8,9,7,7,8,7
16691,Female,48,16.0,8,highly_educated,1,4.0,1,4.0,2,4,7,8,6,6,6,7,8
16692,Female,82,17.0,6,highly_educated,1,6.0,2,66.0,6,3,6,7,7,7,6,6,7
16693,Male,31,16.0,1,highly_educated,1,5.0,1,5.0,1,7,7,9,8,6,6,5,7
16694,Male,72,17.0,6,highly_educated,1,6.0,1,8.0,2,2,3,8,7,4,4,4,6
16695,Female,59,18.0,1,highly_educated,3,66.0,1,17.0,2,7,4,6,6,4,5,1,3
16696,Male,51,17.0,1,highly_educated,1,1.0,1,1.0,2,8,3,5,7,5,3,6,5
16697,Female,36,10.0,1,mid_educated,2,66.0,1,1.0,3,6,7,7,6,7,7,7,7
16698,Male,48,4.0,1,lower_educated,1,13.0,2,66.0,6,8,4,6,8,5,5,4,6
16699,Male,23,16.0,1,highly_educated,1,6.0,2,66.0,6,7,3,8,8,4,4,8,7
16700,Male,56,16.0,1,highly_educated,1,4.0,1,4.0,2,2,8,9,7,6,7,7,7
16701,Female,16,4.0,1,lower_educated,3,66.0,2,66.0,6,5,3,5,6,2,3,4,5
16702,Male,41,2.0,1,lower_educated,1,8.0,1,2.0,2,2,2,9,8,2,4,6,7
16703,Male,49,10.0,1,mid_educated,1,6.0,2,66.0,6,3,8,9,9,6,6,7,6
16704,Female,19,6.0,2,mid_educated,1,15.0,1,15.0,2,5,7,7,7,6,6,7,6
16705,Female,77,8.0,6,mid_educated,1,5.0,2,66.0,6,5,0,2,7,3,3,3,88
16706,Female,26,15.0,1,highly_educated,1,10.0,2,66.0,6,7,4,6,7,4,3,6,6
16707,Female,27,10.0,1,mid_educated,1,88.0,2,66.0,6,3,5,7,7,6,5,5,5
16708,Female,16,4.0,1,lower_educated,3,66.0,2,66.0,6,5,7,7,7,6,6,7,6
16709,Female,72,13.0,6,highly_educated,1,2.0,1,2.0,2,2,4,7,7,2,4,4,4
16710,Female,66,12.0,6,highly_educated,1,2.0,1,2.0,2,3,8,9,7,7,7,8,9
16711,Male,57,10.0,1,mid_educated,1,6.0,2,66.0,6,5,4,5,5,1,3,2,5
16712,Female,31,16.0,1,highly_educated,1,17.0,1,17.0,2,7,7,7,8,6,6,7,7
16713,Female,36,14.0,88,highly_educated,1,7.0,2,66.0,6,3,7,7,6,7,8,8,8
16714,Male,33,10.0,1,mid_educated,1,1.0,1,1.0,2,8,3,7,7,3,3,5,8
16715,Female,87,3.0,6,lower_educated,1,6.0,1,10.0,1,4,4,4,6,4,3,6,3
16716,Female,20,12.0,2,highly_educated,1,1.0,1,1.0,3,6,5,7,8,4,6,7,8
16717,Male,29,10.0,1,mid_educated,1,6.0,2,66.0,6,2,7,8,8,6,6,88,7
16718,Female,54,10.0,1,mid_educated,1,6.0,1,2.0,2,5,6,6,7,5,5,5,6
16719,Female,45,9.0,1,mid_educated,1,10.0,1,17.0,2,5,7,7,6,7,6,7,7
16720,Female,29,6.0,8,mid_educated,1,3.0,2,66.0,6,5,5,7,3,4,4,4,4
16721,Female,67,2.0,6,lower_educated,1,88.0,1,18.0,2,5,6,0,4,2,6,4,7
16722,Male,66,16.0,5,highly_educated,1,15.0,2,66.0,6,4,4,7,6,5,4,7,9
16723,Male,77,3.0,6,lower_educated,1,2.0,1,2.0,1,0,0,0,5,5,5,4,5
16724,Female,82,4.0,8,lower_educated,1,2.0,1,2.0,3,4,6,7,7,5,6,7,7
16725,Male,999,7.0,4,mid_educated,1,3.0,1,3.0,2,9,1,7,6,0,0,0,0
16726,Male,29,14.0,1,highly_educated,1,5.0,2,66.0,6,5,6,9,9,6,6,6,6
16727,Female,53,10.0,1,mid_educated,1,11.0,2,66.0,6,4,6,5,6,4,4,6,6
16728,Female,45,10.0,1,mid_educated,1,12.0,2,66.0,6,4,7,8,7,7,8,5,7
16729,Female,24,14.0,1,highly_educated,1,6.0,2,66.0,6,3,7,9,8,6,7,7,7
16730,Male,36,17.0,1,highly_educated,1,77.0,1,77.0,6,6,8,9,8,7,7,7,8
16731,Male,19,2.0,2,lower_educated,3,66.0,1,8.0,2,4,8,9,7,6,7,7,8
16732,Female,71,6.0,8,mid_educated,1,2.0,2,66.0,6,4,5,5,6,7,6,7,7
16733,Female,77,5.0,6,lower_educated,1,1.0,2,66.0,6,5,6,6,7,5,5,6,7
16734,Male,22,16.0,1,highly_educated,1,16.0,1,17.0,2,8,7,8,7,5,5,4,6
16735,Male,22,10.0,1,mid_educated,1,16.0,1,13.0,2,7,2,6,7,0,3,0,2
16736,Male,66,4.0,6,lower_educated,2,66.0,1,4.0,2,5,3,4,7,5,5,5,6
16737,Female,27,17.0,1,highly_educated,1,15.0,2,66.0,6,3,7,9,7,7,7,7,7
16738,Male,41,10.0,1,mid_educated,2,66.0,1,31.0,2,7,3,7,8,2,6,6,4
16739,Female,76,2.0,6,lower_educated,1,3.0,1,3.0,2,5,2,2,6,0,1,0,1
16740,Male,90,1.0,6,lower_educated,2,66.0,1,2.0,2,88,4,6,8,5,4,4,88
16741,Male,55,14.0,1,highly_educated,1,7.0,2,66.0,6,4,7,7,8,7,6,6,6
16742,Male,75,3.0,6,lower_educated,1,3.0,2,66.0,6,6,3,3,6,0,4,0,6
16743,Female,19,9.0,2,mid_educated,1,17.0,2,66.0,6,4,6,5,8,7,6,6,5
16744,Male,52,11.0,1,mid_educated,1,4.0,1,4.0,3,5,6,4,3,5,5,2,1
16745,Female,53,6.0,88,mid_educated,1,3.0,1,3.0,2,5,8,7,8,5,3,3,4
