,age,education,activity_work,voted,voted_party,close_party,which_p_close,how_close,placement_l_r,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,gender,educational_level,political_trust
16468,36.0,14.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0,Male,highly_educated,6.5
16469,48.0,14.0,1.0,1.0,1.0,2.0,66.0,6.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,7.0,Male,highly_educated,6.75
16470,59.0,17.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,8.0,7.0,6.0,6.0,6.0,6.0,Male,highly_educated,6.25
16471,46.0,9.0,1.0,1.0,17.0,1.0,17.0,2.0,9.0,5.0,3.0,5.0,3.0,4.0,2.6,5.0,Female,mid_educated,3.65
16472,80.0,3.0,6.0,2.0,4.0,2.0,66.0,6.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,Female,lower_educated,4.0
16473,40.0,14.0,1.0,1.0,6.0,2.0,66.0,6.0,6.0,6.0,5.0,7.0,4.0,5.0,6.0,6.0,Female,highly_educated,5.25
16474,50.0,14.0,1.0,1.0,17.0,1.0,17.0,1.0,7.0,6.0,7.0,9.0,6.0,6.0,5.0,7.0,Female,highly_educated,5.75
16475,62.0,10.0,1.0,1.0,3.0,1.0,3.0,2.0,8.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,Female,mid_educated,1.5
16476,33.0,17.0,1.0,1.0,10.0,2.0,66.0,6.0,2.0,3.8,4.0,7.0,1.0,1.0,4.0,5.6,Female,highly_educated,2.45
16477,90.0,4.0,6.0,1.0,2.0,2.0,66.0,6.0,7.0,3.0,5.0,7.0,6.0,6.0,7.0,7.0,Female,lower_educated,5.5
16478,63.0,10.0,1.0,1.0,4.0,2.0,66.0,6.0,6.0,5.0,6.0,6.0,4.0,4.0,4.0,6.0,Female,mid_educated,4.25
16479,60.0,3.0,1.0,1.0,16.0,1.0,16.0,2.0,10.0,1.0,7.0,7.0,1.0,5.0,1.0,7.0,Male,lower_educated,2.0
16480,90.0,3.0,6.0,1.0,5.0,1.0,5.0,1.0,8.0,7.0,8.0,8.0,6.0,6.0,6.0,6.0,Male,lower_educated,6.25
16481,25.0,16.0,1.0,1.0,8.0,2.0,66.0,6.0,3.0,4.0,7.0,2.0,3.0,3.0,5.0,5.0,Male,highly_educated,3.75
16482,33.0,14.0,1.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,6.0,9.0,5.0,6.0,6.0,7.0,Male,highly_educated,5.25
16483,79.0,11.0,6.0,1.0,7.0,2.0,66.0,6.0,3.0,7.0,8.0,6.0,7.0,7.0,7.0,7.0,Female,mid_educated,7.0
16484,76.0,14.0,6.0,1.0,1.0,2.0,66.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,Female,highly_educated,6.25
